,car_model,year_of_manufacture,price,fuel
0,corolla altis,2013,10373.13,Petrol
1,etios cross,2015,6716.42,Petrol
2,fortuner,2014,27985.07,Diesel
3,fortuner,2015,35074.63,Diesel
4,fortuner,2017,49253.73,Diesel
5,etios liva,2014,7089.55,Diesel
6,innova,2017,29477.61,Petrol
7,fortuner,2010,13805.97,Diesel
8,corolla altis,2011,6492.54,Petrol
9,corolla altis,2016,21268.66,Petrol
10,ritz,2012,4626.87,Diesel
11,ritz,2011,3507.46,Petrol
12,swift,2014,7388.06,Diesel
13,ertiga,2014,8955.22,Diesel
14,dzire,2014,8208.96,Diesel
15,sx4,2011,4402.99,CNG
16,dzire,2015,6940.3,Petrol
17,800,2003,522.39,Petrol
18,alto k10,2016,4477.61,Petrol
19,sx4,2003,3358.21,Petrol
20,etios liva,2014,5895.52,Diesel
21,corolla altis,2011,6716.42,Diesel
22,corolla altis,2013,11119.4,Petrol
23,etios liva,2011,3955.22,Petrol
24,etios cross,2014,7313.43,Diesel
25,etios g,2015,5895.52,Petrol
26,corolla altis,2013,8208.96,Petrol
27,corolla,2004,2238.81,Petrol
28,corolla altis,2010,7835.82,Petrol
29,fortuner,2012,21641.79,Diesel
30,alto 800,2017,4253.73,Petrol
31,ciaz,2015,10223.88,Diesel
32,ciaz,2015,11194.03,Petrol
33,ertiga,2015,9104.48,Petrol
34,dzire,2009,3358.21,Petrol
35,ertiga,2016,11567.16,Diesel
36,ertiga,2015,10820.9,Diesel
37,ertiga,2016,11567.16,Diesel
38,wagon r,2015,4850.75,CNG
39,sx4,2010,3955.22,Petrol
40,alto k10,2016,4253.73,Petrol
41,ignis,2017,7313.43,Petrol
42,sx4,2011,6567.16,Petrol
43,alto k10,2014,3731.34,Petrol
44,wagon r,2013,4328.36,Petrol
45,swift,2011,4477.61,Petrol
46,swift,2013,6194.03,Petrol
47,swift,2017,8955.22,Petrol
48,alto k10,2010,2910.45,Petrol
49,ciaz,2015,11119.4,Diesel
50,ritz,2014,5000.0,Petrol
51,sx4,2013,7089.55,Diesel
52,ciaz,2017,10820.9,Petrol
53,wagon r,2011,4253.73,Petrol
54,swift,2014,6865.67,Diesel
55,vitara brezza,2018,13805.97,Diesel
56,ciaz,2015,10074.63,Petrol
57,s cross,2015,9701.49,Diesel
58,ciaz,2016,13059.7,Diesel
59,ciaz,2015,11119.4,Diesel
60,fortuner,2012,22238.81,Diesel
61,fortuner,2015,34328.36,Diesel
62,innova,2017,26865.67,Diesel
63,fortuner,2013,23880.6,Diesel
64,innova,2005,4104.48,Petrol
65,corolla altis,2009,5373.13,Petrol
66,etios cross,2015,6716.42,Petrol
67,corolla altis,2010,7089.55,Petrol
68,etios g,2014,6119.4,Petrol
69,fortuner,2014,29835.82,Diesel
70,corolla altis,2016,21985.07,Diesel
71,etios gd,2015,7089.55,Diesel
72,innova,2017,34328.36,Diesel
73,innova,2015,18656.72,Diesel
74,innova,2005,5208.96,Diesel
75,camry,2006,3731.34,Petrol
76,land cruiser,2010,52238.81,Diesel
77,corolla altis,2012,8805.97,Petrol
78,etios liva,2013,5149.25,Petrol
79,etios g,2014,7089.55,Petrol
80,baleno,2016,8731.34,Petrol
81,alto k10,2014,3805.97,Petrol
82,sx4,2008,2910.45,Petrol
83,dzire,2014,8208.96,Diesel
84,omni,2012,1865.67,Petrol
85,ciaz,2014,11194.03,Petrol
86,ritz,2013,3955.22,Petrol
87,wagon r,2006,1567.16,Petrol
88,ertiga,2015,8656.72,Petrol
89,ciaz,2017,11567.16,Petrol
